,Country,confirmed_inc,deaths_inc,recoveries_inc
542381,Turkey,0.0,0.0,0.0
542382,Turkey,0.0,0.0,0.0
542383,Turkey,0.0,0.0,0.0
542384,Turkey,0.0,0.0,0.0
542385,Turkey,0.0,0.0,0.0
542386,Turkey,0.0,0.0,0.0
542387,Turkey,0.0,0.0,0.0
542388,Turkey,0.0,0.0,0.0
542389,Turkey,0.0,0.0,0.0
542390,Turkey,0.0,0.0,0.0
542391,Turkey,0.0,0.0,0.0
542392,Turkey,0.0,0.0,0.0
542393,Turkey,0.0,0.0,0.0
542394,Turkey,0.0,0.0,0.0
542395,Turkey,0.0,0.0,0.0
542396,Turkey,0.0,0.0,0.0
542397,Turkey,0.0,0.0,0.0
542398,Turkey,0.0,0.0,0.0
542399,Turkey,0.0,0.0,0.0
542400,Turkey,0.0,0.0,0.0
542401,Turkey,0.0,0.0,0.0
542402,Turkey,0.0,0.0,0.0
542403,Turkey,0.0,0.0,0.0
542404,Turkey,0.0,0.0,0.0
542405,Turkey,0.0,0.0,0.0
542406,Turkey,0.0,0.0,0.0
542407,Turkey,0.0,0.0,0.0
542408,Turkey,0.0,0.0,0.0
542409,Turkey,0.0,0.0,0.0
542410,Turkey,0.0,0.0,0.0
542411,Turkey,0.0,0.0,0.0
542412,Turkey,0.0,0.0,0.0
542413,Turkey,0.0,0.0,0.0
542414,Turkey,0.0,0.0,0.0
542415,Turkey,0.0,0.0,0.0
542416,Turkey,0.0,0.0,0.0
542417,Turkey,0.0,0.0,0.0
542418,Turkey,0.0,0.0,0.0
542419,Turkey,0.0,0.0,0.0
542420,Turkey,0.0,0.0,0.0
542421,Turkey,0.0,0.0,0.0
542422,Turkey,0.0,0.0,0.0
542423,Turkey,0.0,0.0,0.0
542424,Turkey,0.0,0.0,0.0
542425,Turkey,0.0,0.0,0.0
542426,Turkey,0.0,0.0,0.0
542427,Turkey,0.0,0.0,0.0
542428,Turkey,0.0,0.0,0.0
542429,Turkey,1.0,0.0,0.0
542430,Turkey,0.0,0.0,0.0
542431,Turkey,4.0,0.0,0.0
542432,Turkey,0.0,0.0,0.0
542433,Turkey,1.0,0.0,0.0
542434,Turkey,12.0,0.0,0.0
542435,Turkey,29.0,1.0,0.0
542436,Turkey,51.0,0.0,0.0
542437,Turkey,94.0,2.0,0.0
542438,Turkey,167.0,1.0,0.0
542439,Turkey,311.0,5.0,0.0
542440,Turkey,566.0,21.0,0.0
542441,Turkey,293.0,7.0,0.0
542442,Turkey,343.0,7.0,0.0
542443,Turkey,561.0,15.0,26.0
542444,Turkey,1196.0,16.0,0.0
542445,Turkey,2069.0,17.0,16.0
542446,Turkey,1704.0,16.0,28.0
542447,Turkey,1815.0,23.0,35.0
542448,Turkey,1610.0,37.0,57.0
542449,Turkey,2704.0,46.0,81.0
542450,Turkey,2148.0,63.0,90.0
542451,Turkey,2456.0,79.0,82.0
542452,Turkey,2786.0,69.0,69.0
542453,Turkey,3013.0,76.0,302.0
542454,Turkey,3135.0,73.0,256.0
542455,Turkey,3148.0,75.0,284.0
542456,Turkey,3892.0,76.0,256.0
542457,Turkey,4117.0,87.0,264.0
542458,Turkey,4056.0,96.0,296.0
542459,Turkey,4747.0,98.0,281.0
542460,Turkey,5138.0,95.0,542.0
542461,Turkey,4789.0,97.0,481.0
542462,Turkey,4093.0,98.0,511.0
542463,Turkey,4062.0,107.0,842.0
542464,Turkey,4281.0,115.0,875.0
542465,Turkey,4801.0,125.0,1415.0
542466,Turkey,4353.0,126.0,1542.0
542467,Turkey,3783.0,121.0,1822.0
542468,Turkey,3977.0,127.0,1523.0
542469,Turkey,4674.0,123.0,1454.0
